,weight,age,height
52677,56,32.0,162.56
54230,49,38.0,162.56
26525,54,36.0,162.56
81748,88,53.0,182.88
66903,54,36.0,167.64
53166,52,34.0,165.1
64359,58,43.0,167.64
49956,72,35.0,177.8
59462,58,28.0,170.18
93844,58,38.0,157.48
73,113,27.0,167.64
81552,79,31.0,162.56
57323,70,37.0,160.02
80145,81,33.0,175.26
57077,95,54.0,177.8
64904,63,36.0,162.56
22780,81,30.0,149.86
10501,55,35.0,162.56
109969,63,38.0,165.1
112698,51,29.0,167.64
112901,63,27.0,170.18
49560,79,31.0,177.8
107365,53,28.0,154.94
67459,58,36.0,160.02
102369,60,41.0,170.18
19278,58,26.0,172.72
107861,63,26.0,172.72
18501,62,24.0,180.34
76969,65,29.0,172.72
107821,70,48.0,157.48
93010,54,27.0,162.56
55599,58,36.0,172.72
59536,61,40.0,170.18
9609,56,31.0,162.56
46451,52,35.0,167.64
91910,56,29.0,160.02
61050,74,33.0,177.8
82098,49,35.0,160.02
